OBJECTID,NAME_OF_SE,ALT_NAME,STREETNAME,WARD_S,PLANNING_U,LATITUDE,LONGITUDE,REGION,WATER_SUPP,SANITATION,REFUSE,ELECTRIC_2,UNIREFCODE,EST_HHC,NUSP_CAT,SHAPE_Length,SHAPE_Area
300,Umlazi - V - V5,V5,Emakholweni Circle / Ndukenhle Circle / Madisa Circle,74/76/80,Umlazi - V,"-29,9538156342065","30,9287630505001",Southern,Ablution Facility Taps,Ablution Facility & Pit Privies,C&SW contractor,Yes,I0349,1055,B1,0.0339936987419066,1.25414032541052e-05
301,Umlazi - V - V1,V1,Veni Yeni Road / Mgobhozi Road,88,Umlazi - V,"-29,9591095787683","30,9203807630211",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0345,190,B1,0.00929324586375574,1.02720700361494e-06
302,Umlazi - T - Uganda,Uganda,Inwabi Road,90,Umlazi - T / Isipingo,"-29,9779270358525","30,9180819916463",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Planned,I0333,770,B1,0.0233956605644526,6.41999406051275e-06
303,Umlazi - T - T1/2,T1/2,1722 Road / 1726 Road,89/87,Umlazi - T,"-29,977457088601","30,9018900315001",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0330,1057,B1,0.0217273005416575,6.18635765646526e-06
304,Umlazi - T - T4,T4,1729 Road,89,Umlazi - T,"-29,975727055029","30,9046709925001",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0331,200,B1,0.011502243688577,1.80733688970073e-06
305,Umlazi - E - EX1 (Zilungiseni),"EX1 (Zilungiseni), Umlazi - Part 3",Sbusiso Mdakane Drive,80/81,Umlazi - E,"-29,9436351540634","30,9142924307051",Southern,Yes,VIPs,C&SW contractor,Yes,I0233,564,B1,0.0389379648961455,1.65651149097908e-05
306,Umlazi - B - BX5 (Happy City),BX5 (Happy City),Street No. 223,80/88,Umlazi - B,"-29,9595766842254","30,9097428175",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0217,72,B1,0.00746522576060653,7.14399400635667e-07
307,Umlazi - E - C6 (Gugulethu),C6 (Gugulethu),Sibusiso Mdakane Drive,81,Umlazi - E,"-29,9465782923337","30,9052899732501",Southern,Ablution Facility Taps & Standpipes,Ablution facility & Pit Privies,C&SW contractor,Yes,I0230,67,A,0.00976507280606018,9.57640733021479e-07
308,Dakota Beach, ,Ernest Clockie Road,90,Isipingo Beach,"-30,004221498923","30,9403395800001",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0704,1240,B2/C,0.0167102044398246,4.11624781408332e-06
309,Malukazi (Lower), ,Sbu Magwanyane Road,89/90,Malukazi,"-29,9979792858623","30,9038072459253",Southern,Ablution Facility Taps & Standpipes,Ablution Facility & Pit Privies,C&SW contractor,Yes,I0122,7206,B1,0.0758673448113543,8.39307580730576e-05
