OBJECTID,NAME_OF_SE,ALT_NAME,STREETNAME,WARD_S,PLANNING_U,LATITUDE,LONGITUDE,REGION,WATER_SUPP,SANITATION,REFUSE,ELECTRIC_2,UNIREFCODE,EST_HHC,NUSP_CAT,SHAPE_Length,SHAPE_Area
376,Coedmore, ,Unit Avenue,64,Seaview,"-29,9032145235612","30,9572565540001",Southern,TBC,TBC,C&SW contractor,Planned,I0801,90,B2,0.00560440460297067,8.1019288416707e-07
377,Sirdar Road, ,Sirdar Road,32,Clairwood,"-29,9106413516964","30,9822630690669",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0803,93,B2,0.00244739725826971,2.77028556915625e-07
378,Matlock Grove, ,Matlock Grove,31,Sparks,"-29,8276824889773","30,9798113781485",Northern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0805,53,B2,0.00201449492628909,2.33344950216319e-07
379,Ekuthuleni (Sea View),None,Solomon Mahlangu Highway,65,Seaview / Bellair,"-29,8930143213828","30,9673700863966",Southern,TBC,TBC,C&SW contractor,Planned,I0810,25,B2,0.00255415176721684,2.91649520668183e-07
380,Kenville Village (NCP), ,Sea Cow Lake Rd,34,Briardene,"-29,8078060460304","31,0090720156603",Northern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0820,142,B2,0.00463207449934891,7.25308519634585e-07
381,Sir Kumar Reddi Rd, ,Sir Kumar Reddi Road,32,Clairwood,"-29,9166929466761","30,9825133986308",Southern,TBC,TBC,C&SW contractor,Planned,I0828,61,B2,0.00218907198839589,1.87868120176471e-07
382,Ratcliffe Drive, ,Ratcliffe Drive,65,Bellair,"-29,8854183527828","30,958166724",Southern,1 Standpipe,TBC,C&SW contractor,Planned,I0835,8,B2,0.00230443968317939,1.24647894766294e-07
383,Emgodini, ,Daffodil Place,36,Umgeni Park,"-29,8050974970117","31,0145906940002",Northern,Ablution Facility Taps,Ablution facility & Pit privies,C&SW contractor,Yes,I0063,174,B1,0.00622344403188761,6.29277537732612e-07
384,Sastri Road Settlement, ,Sastri,32,Clairwood,"-29,9133372483584","30,980377467934",Southern,TBC,TBC,C&SW contractor,TBC,I0849,35,B2,0.00130539654011545,1.00774459650582e-07
385,Cherry Road Settlement,New York,Cherry,32,Clairwood,"-29,9146558101352","30,9823915933243",Southern,TBC,TBC,C&SW contractor,TBC,I0850,50,B2,0.00190722172524883,1.99346391213585e-07
386,Burnwood Road overspill, ,Burnwood / Candover Roads,25,Clare Hills / Springfield,"-29,8181429631013","30,986054087858",Northern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0854,1404,B2,0.027548304536711,8.31687967692097e-06
387,Cato Crest Greenland,Greenlands,Vusi Mzimela Road,30,Cato Crest / Cato Crest - Open Space,"-29,8576194708854","30,9706432185002",Southern,"Ablution Facility Taps, Standpipes & Ground water tank",Ablution facility & Pit Privies,C&SW contractor,Planned,I0031,302,B1/C,0.00681023485048454,1.21254187207645e-06
388,Dalton Settlement, ,Cnr Dalton and Sydney Road,32,Congella,"-29,8671597397625","31,0047165606388",Southern,TBC,TBC,C&SW contractor,TBC,I0860,97,B2,0.00186919724559565,1.90017121847588e-07
389,Georgehill road, ,Georgehill Road,31,Sparks,"-29,8295820198437","30,9829852863082",Northern,Ablution Facility Taps,Ablution Facility,C&SW contractor,TBC,I0079,61,B1,0.00278897479921164,2.59010169476394e-07
390,Fremantle road, ,Fremantle Road,65,Mount Vernon,"-29,8949099408902","30,9328800642296",Southern,Illegal Connection,Pit Privies,C&SW contractor,No,I0879,42,B2,0.002138793494243,2.01705210583637e-07
391,Cato crest Blinkbonnie Road,"Blinkbonnie Rd, Cato manor",Blinkbonnie Road,30,Bonela,"-29,8458589902937","30,9709526643114",Southern,TBC,TBC,C&SW contractor,TBC,I0881,700,B2,0.0181340157303689,7.96470785433879e-06
392,Cato crest (King Cetshwayo HWY),"Almakad Hospital, Cato Manor",King Cetshwayo HWY,30,Bonela,"-29,841261784618","30,9758521548519",Southern,TBC,TBC,C&SW contractor,TBC,I0882,50,C,0.00544650381235398,4.93422695544273e-07
393,Esontweni,Bellair Fellowship Church,Grace Place,65,Bellair,"-29,8819066594074","30,9603073319862",Southern,1 Standpipe,TBC,C&SW contractor,Planned,I0811,13,B2,0.00165145906780735,9.39307433470731e-08
394,Pemilton Avenue/ Ekuthuleni, ,Pemilton Avenue,23,Reservoir Hills,"-29,7880822634148","30,9348089286631",Western,Ablution Facility Taps & Standpipes,Ablution Facility & Pit Privies,C&SW contractor,Planned,I0594,81,C,0.00975962026680518,8.24622172487915e-07
395,Shannon Drive/Emsahweni, ,Shannon Drive,23,Reservoir Hills,"-29,7940185065799","30,9363953646847",Western,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0595,309,B2,0.00809514887280048,1.2121543351399e-06
396,Pridley Park / Croft, ,Croft Crescent,23,Reservoir Hills,"-29,803922145684","30,9314824472071",Western,Ablution Facility Taps,Ablution facility & Pit Privies,C&SW contractor,Yes,I0596,94,B2,0.00340757333184498,3.4640488817334e-07
397,Umgudulu,None,Umgudulu Road / M19,23,University of Durban Westville,"-29,8123688855075","30,9460948155001",Western,Ablution Facility Taps & 2 Standpipe,Ablution facility & Pit Privies,C&SW contractor,Planned,I0598,414,C,0.0114195474707547,2.71557956519304e-06
398,New Germany Road,None,New Germany Road,23,Reservoir Hills,"-29,8013199864558","30,9647993786625",Western,Ablution Facility Taps & 2 Standpipe,Ablution Facility,C&SW contractor,Yes,I0602,673,B2,0.010889462321191,2.85520797709753e-06
399,Queensburgh / Huntley Road, ,Huntley Road,63,Malvern,"-29,8756227610506","30,9322942372501",Western,TBC,TBC,C&SW contractor,Planned,I0603,123,B2,0.01829116128514,3.24922038650203e-06
400,Umbilo River Valley,Ngcangcayi,Scott's Place,24,Dawncliffe,"-29,8605994670758","30,9027146404752",Western,TBC,Pit Privies,C&SW contractor,Planned,I0604,16,C,0.0032080767139031,3.05887543579489e-07
401,Dunstan Garden/ Senzokuhle, ,North of M19,23,Reservoir Hills,"-29,8129293163599","30,9371041003383",Western,Standpipes,Pit Privies,C&SW contractor,Planned,I0706,98,B2,0.00552225967743434,5.51652553619739e-07
402,Paradise Valley, ,N3 / Eden Road,18,Sarnia,"-29,8344401619482","30,8828885216435",Western,TBC,TBC,C&SW contractor,Planned,I0830,13,C,0.00143481371893303,1.19644168735109e-07
403,Malvern / Main Road, ,Main Road / Lawson Place / First Avenue,63,Malvern,"-29,8778443142334","30,9170670721879",Western,TBC,TBC,C&SW contractor,TBC,I0916,25,B1/B2,0.00676018750207077,1.5856880011465e-06
404,Mississippi (Amanzimyama Stream),Amanzimnyama River,Inkosi Albert Luthuli Freeway / Amanzimnyaa Stream,32,Clairwood,"-29,9200964103073","30,9799894605001",Southern,TBC,TBC,C&SW contractor,Planned,I0839,54,C,0.00413482888986717,1.49859331753662e-07
405,Dayal Road Informal, ,Dayal road,32,Clairwood,"-29,9172818913049","30,984386959097",Southern,1 standPipe,1 Flushtoilet,C&SW contractor,TBC,I0918,36,C,0.00140031607886852,9.17053542786529e-08
406,Ridgeview informal, ,121515 str,24,Ridgeview,"-29,8770442063924","30,9470324645001",Southern,TBC,TBC,C&SW contractor,TBC,I0898,5,B2,0.000767131529047724,1.11601289889988e-08
407,Electron Road, ,Electron Road,25,Springfield,"-29,816729435332","30,991421229708",Northern,TBC,TBC,C&SW contractor,Planned,I0857,23,B2,0.00236485709739238,1.29426180676422e-07
408,Ratcliffe Drive Ext, ,Ratcliffe Drive,65,Bellair,"-29,8865829438548","30,9562209625001",Southern,Standpipe,Pit latrine,C&SW contractor,TBC,I0899,17,B1,0.00375703240351169,2.3083145546699e-07
409,Umhlathuzana Rd, ,Seaward Road,64,Seaview / Coedmore,"-29,9064267653518","30,9673920245349",Southern,Standpipe,TBC,C&SW contractor,Planned,I0802,35,B2/C,0.00489535575278442,3.45144584578251e-07
410,Ezikrebheni / Umgeni Flood plain,Umgeni River Flood plain,Clare road,25,Sparks,"-29,8045275268607","30,9772236794211",Western,TBC,VIP & Pit Privies,C&SW contractor,Planned,I0819,154,B2,0.00661221998903151,8.11609073885781e-07
411,KwaDukuza,Ekuthuleni (KwaDukuza 1),Solomon Mahlangu Highway,65,Bellair,"-29,8878975960635","30,9648972890001",Southern,TBC,TBC,C&SW contractor,Planned,I0709,60,C,0.00802108141776379,6.40738540504111e-07
412,Foreman Road Ext, ,Foreman Road,25,Clare Hills,"-29,8260303190154","30,9739392125001",Northern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned?,I0873,1000,B2,0.0285014036018333,4.46604892196933e-06
413,Ensimbini 2 (Overspill),Nsimbini Overspill,Putney PL / Nubian Ave,29,Wiggins - Dunbar,"-29,8564991089917","30,9529315193385",Southern,TBC,TBC,C&SW contractor,Planned,I0578,1169,B2/C,0.0256658803783447,4.0062957317203e-06
414,Quarry Road West, ,Quarry West Road,23,Palmiet,"-29,8037108876248","30,9677280923972",Northern,Ablution Facility Taps & 2 Standpipe,Ablution Facility & VIP,C&SW contractor,Planned,I0708,739,B2/C,0.0207256368009355,2.65866312445413e-06
415,Jamaica Overspill, ,uthando pl / bhubesi rd,24,Chesterville,"-29,8554869100586","30,941484342627",Southern,TBC,TBC,C&SW contractor,TBC,I0877,640,C,0.0168232693826458,3.41010880461721e-06
416,Puntans Hill,Silverwillow,Ramnaidoo Road / Quarry Road,25/27,Springfield / Morningside,"-29,8155567120444","31,0082821020001",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Yes,I0184,843,B1,0.0174261067732486,4.87978403812162e-06
417,Banana City, ,Westdene Terrace,23,University of Durban-Westville,"-29,8164427758502","30,9542055129088",Northern,"Ablution facility taps, Varsity water & Standpipes",Ablution facility & Pit Privies,C&SW contractor,Yes,I0021,524,B1,0.0141528444283872,4.39005093410299e-06
418,Rainbow Ridge, ,Chiltern Drive / Palmiet Street,23,Palmiet,"-29,8175457434025","30,9601437075551",Northern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0165,813,B1,0.0243840920412583,8.51621753427243e-06
419,Old & New Dunbar (Wiggins) Overspill, ,New Dunbar Road / Hlelabar Grove,29/30,Wiggins - Dunbar,"-29,8518716175863","30,9679515112864",Southern,Ablution Facility Taps & 2 Standpipe,Ablution Facility,C&SW contractor,Yes,I0154,2664,B1,0.0836813763746633,1.02039044770373e-05
420,Cascades, ,Hans Dettman Highway,17,St Wendolins,"-29,8696294491891","30,8719045710001",Western,Ablution Facility Taps,Ablution facility & Pit privies,C&SW contractor,Planned,I0600,30,B2,0.00552338775795036,2.00120555685845e-07
421,Dassenhoek - Block A (Mansenseni),Mansenseni,MR559 Route,14,Dassenhoek,"-29,8384094812989","30,780014597549",Western,Standpipes,Planned Ablution Block,C&SW contractor,Yes,I0042,1772,B1,0.0767097001950876,0.000115210825996061
422,KwaMajozi, ,Hansdettman Highway,17,St Wendolins,"-29,8692973831524","30,8707783638635",Western,Ablution Facility Taps & Standpipes,Ablution facility & Pit Privies,C&SW contractor,Planned,I0601,31,B2,0.00368745277105538,1.46183028877963e-07
423,Sandton phase 3 (KwaLinda), ,Mpangele Drive,12,KwaNdengezi,"-29,8417627776637","30,7764084185625",Western,Ablution Facility Taps & Standpipes,Ablution facility & Pit privies,C&SW contractor,Planned,I0178,325,B1,0.0372392876610075,1.61224860568168e-05
424,Klaarwater Camp,Klaarwater Station,Wiltshire Road,63,AMT Industrial,"-29,8602784364542","30,8608795916082",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0509,234,B2,0.0112881960416549,3.52225347679894e-06
425,Umlazi - K - K7\AA Lusaka,K7\AA Lusaka,Nyathi Road / Vela Avenue,84,Umlazi - K,"-29,9621230655596","30,8441730214429",Southern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Yes,I0273,394,B1,0.0233142664651673,5.18103082645631e-06
426,Umlazi - J - J13,J13,Esipokini Road / Pigogo Road / Zihlahla Road,78,Umlazi - J,"-29,9540538618695","30,8570970196019",Southern,Ablution Facility Taps & 2 Standpipe,Ablution Facility,C&SW contractor,Yes,I0260,263,B1,0.00906333378785512,2.23908508476056e-06
427,Umlazi - K - K1,K1,Griffiths Mxenge Highway / Josiah Dlamini Road / Phumula Rd,84,Umlazi - K,"-29,960192629484","30,8481215934333",Southern,Ablution Facility Taps & 3 Standpipe,Ablution Facility,C&SW contractor,Yes,I0274,89,B1,0.0121693967786354,7.68626183986145e-07
428,Umlazi - K - K2,K2,Griffiths Mxenge Highway / Josiah Dlamini Road / Mabele Rd,84/78,Umlazi - K,"-29,9613138436083","30,8512497200001",Southern,Ablution Facility Taps & 2 Standpipe,Ablution Facility,C&SW contractor,Yes,I0278,265,B1/A,0.0193078868615011,2.63017910388805e-06
429,Umlazi - K - K15,K15,Griffiths Mxenge Highway,78,Umlazi - K,"-29,96111525477","30,8535975565001",Southern,Ablution Facility Taps & 3 Standpipe,Ablution Facility,C&SW contractor,Yes,I0276,100,B1,0.00842889571121169,1.04693037047833e-06
430,Umlazi - J - J17,J17,Mbalane Road,78,Umlazi - J,"-29,9399326361594","30,8605399312268",Southern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Yes,I0262,137,B1,0.0130137204914276,1.36423293971873e-06
431,Umlazi - J - J7,J7,Bhasini Road,78,Umlazi - J,"-29,9461795186523","30,862726504996",Southern,Ablution Facility Taps & 2 Standpipe,Ablution Facility,C&SW contractor,Yes,I0265,131,B1,0.00640200189578676,1.30713510754361e-06
432,Umlazi - J - JX5,JX5,Zihlahla Road / Bhasini Road,78,Umlazi - J,"-29,9466638068458","30,8613455462502",Southern,Ablution Facility Taps & 5 Standpipe,Ablution Facility,C&SW contractor,Yes,I0269,82,B1,0.00710994644121292,7.01373320652737e-07
433,Umlazi - J - J4,J4,Isidingo Road / Bekezela Avenue / Isiding Road,83,Umlazi - J,"-29,9512855031115","30,86099881575",Southern,Ablution Facility Taps & 4 Standpipe,Ablution Facility,C&SW contractor,Yes,I0264,833,B1,0.027136894872793,6.93036023375388e-06
434,Umlazi - J - JX4,JX4,Zihlahla Road,78,Umlazi - J,"-29,9527634498215","30,8591902472501",Southern,Ablution Facility Taps & 4 Standpipe,Ablution Facility,C&SW contractor,Yes,I0268,150,B1,0.00764234643593857,1.13497349159119e-06
435,Umlazi - K - K1-3D,K1-3D,Thendele Avenue / Phumula Road,84,Umlazi - K,"-29,96188822074","30,8463953795001",Southern,Ablution Facility Taps,Ablution facility & Pit privies,C&SW contractor,Yes,I0275,25,B1,0.00331706067873144,1.80536890207648e-07
436,Umlazi - K - K5,K5,Mabele Road,84,Umlazi - K,"-29,9656640017809","30,8506861787433",Southern,Ablution Facility Taps,Ablution Facility & Pit Privies,C&SW contractor,Planned,I0280,16,B1,0.00243191676434671,6.73626620151752e-08
437,Stockville Settlement, ,Stockville Road / Lehri Road,10,Stockville,"-29,8032713696455","30,8048108103981",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0194,461,B2,0.0530482791231185,2.20649049371636e-05
438,KwaDlwembe, ,Dlwembe Road,7,Ntshongweni,"-29,8297236570897","30,6774358703996",Western,Ground water tank,Pit Privies,C&SW contractor,Yes,I0103,321,B1,0.0969513610810756,5.29636845823315e-05
439,KwaMbiza, ,D997,7,Ntshongweni,"-29,8539543920331","30,6854501722735",Western,Ground water tank,Pit Privies,C&SW contractor,Yes,I0108,1914,B1,0.0728624733830714,0.000136341289452309
440,Ekwandeni, ,Sibisi Road,6/7/91,Mandlakazi & Mpumalanga East,"-29,8428905289626","30,6511978935002",Western,Ablution Facility Taps,Ablution facility & Pit Privies,C&SW contractor,Yes_35 units planned,I0057,1944,B1,0.107757171111677,0.000183897066066834
441,Luthuli Area, ,ZD615 Road,7,Ntshongweni,"-29,8383130168733","30,6653788915002",Western,Ground water tank,Pit Privies,C&SW contractor,Yes,I0117,652,B1,0.0619289062312991,3.0978267890133e-05
442,Wathanga, ,D210 / ZD615 Road,7,Ntshongweni,"-29,8410180202961","30,6879059650001",Western,Ground water tank,Pit Privies,C&SW contractor,Yes,I0366,2353,B1,0.210592131419882,0.000146079941090791
443,Seventeen, ,ZD615 Road,7,Ntshongweni / Mandlakazi,"-29,8506632477076","30,6772938730001",Western,Ground water tank,Pit Privies,C&SW contractor,Yes,I0182,1636,B1,0.0939351119998028,0.000159190190832531
444,Esikhelekehleni 1, ,D1004,4,Esikhelekehleni,"-29,7216168520672","30,6804245668731",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0068,3677,B1,0.183877281386888,0.000611729948930334
445,Sthumba, ,D1004,1/4,Sithumba,"-29,682645355774","30,6988645845651",Western,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0193,1725,B1,0.0963628976929704,0.000194686723668465
446,Rietvallei, ,65001 Street / 65026 Street,4,Fredville / Harrison,"-29,7101731787817","30,654072007549",Western,Ablution Facility Taps & Standpipes,Ablution facility & Pit Privies,C&SW contractor,Yes,I0174,1329,B1,0.0657332510945168,7.05676294806319e-05
447,Sankotshe, ,MR430 / Meyiwa Main Road,5,Sankotshe / Georgedale,"-29,7970436625462","30,5880846292502",Western,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0180,4058,B1,0.108169141175614,0.000346474172039013
448,Georgedale, ,Mthoko Mkhize Road,5,Georgedale / Camperdown Rural,"-29,7943965115998","30,6120064408854",Western,Ablution Facility Taps & Standpipes,Ablution Facility & Pit Privies,C&SW contractor,Yes,I0078,4581,B1,0.103334775329938,0.000226306985362753
449,Mophela, ,MR430,5,Mophela,"-29,8203682541065","30,5856855380655",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0134,3323,B1,0.13071460864519,0.00041048564473459
450,Bucks Farm (Riverdale), ,Cliffdale Road,103,Bux Farm,"-29,8111908745956","30,6920412630643",Western,Communal Tanks,Pit Privies,C&SW contractor,TBC,I0027,1207,B1,0.0555876313075146,9.29490529560266e-05
451,Cliffdale Highway (Kwa Douglas),Cliffdale Douglas Station,Capital Hill Drive,103,Cliffdale,"-29,7734959080663","30,6888841107059",Western,Standpipes,Pit Privies,C&SW contractor,TBC,I0034,178,B1,0.0108075370484942,4.81030882757563e-06
452,Lubex Road/Ezitendeni, ,Lubex Road,7/97,Mpumalanga-East,"-29,8091714159312","30,6598890507234",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0115,1049,B1,0.0656540344166194,3.62873582696455e-05
453,Kontinga,Salem phase 1,MR46,7,Salem Community,"-29,850535462009","30,7410442736149",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0098,570,B1,0.0428785188674011,4.1776896236133e-05
454,Esivivaneni, ,ZD615 Road,7,Mpumalanga-East / Ntshongweni / Mandlakazi,"-29,8348830386413","30,661733569022",Western,Ground water tank,Pit Privies,C&SW contractor,Yes,I0070,84,B1,0.0431284366113297,6.1485992986813e-06
455,Welbedacht East, ,Welbedacht Road,77/72,Welbedacht,"-29,91507952174","30,855448547306",Southern,8 Standpipe,Ablution facilities & Pit Privies,C&SW contractor,Planned,I0367,1177,B1,0.0633548119011934,3.88683895117242e-05
456,Rockdale (Ndengezi Informal), ,Ndonsa Road/ Makhathini Drive,12,KwaNdengezi,"-29,8523313233337","30,7634419455543",Western,Ablution Facility Taps & Standpipes,Ablution facility & Pit privies,C&SW contractor,Yes,I0176,1264,B1,0.0751704131870534,5.12512829299598e-05
457,Pumphouse, ,Higginson Highway,72,Welbedacht,"-29,9007603066412","30,8542312502545",Southern,Ablution Facility Taps & Standpipes,Ablution Facility & Pit Privies,C&SW contractor,Yes,I0162,379,B1,0.0219361716307176,5.41023057932637e-06
458,Umlazi - BB - BB 868,BB 868,Maphitha Close,84,Umlazi - BB,"-29,9762521467305","30,8507332625393",Southern,TBC,Pit Privies,C&SW contractor,Yes,I0220,233,B1,0.0216311000947648,6.20269734449211e-06
459,St Wendolins Ridge, ,St. Wendolins Road,16/17,St Wendolins,"-29,8727879085494","30,840261817854",Western,Ablution Facility Taps & Individual connections,Ablution Facility,C&SW contractor,Yes,I0192,807,B1,0.0486626578833009,2.56678688035522e-05
460,Motala heights 2, ,Motala Road,15,Motala Heights,"-29,8111430762898","30,831363149008",Western,Ablution Facility Taps,Ablution Facilty,C&SW contractor,Yes,I0136,40,B1,0.00745685810027835,1.83003087526912e-06
461,Burlington station Overspill, ,Street No. 38203,65,Burlington,"-29,8866121569852","30,8955389047488",Western,Ablution Facility Taps,Ablution Facilty,C&SW contractor,Yes,I0834,143,B2,0.00747111408939932,6.34609299266529e-07
462,Burlington Station/ White City, ,Burlington Road,65,Burlington,"-29,8870014999538","30,9008874705001",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0837,212,B2,0.0150163663109844,8.74423758263838e-07
463,Emalangeni, ,Sibisi Road,7/91/6,Mpumalanga East / Mandlakazi,"-29,830239429344","30,660689985552",Western,Ablution Facility Taps and Ground water tank,Ablution Facility,C&SW contractor,Yes,I0059,1398,B1,0.0596977977896032,5.50520264511881e-05
464,Eqgumeni, ,Sibisi Road/ 645 Street,91,Mpumalanga-East,"-29,8148969876358","30,6499030236746",Western,Standpipes,Pit Latrine,C&SW contractor,Planned,I0067,207,B1,0.0171001811123598,8.40444235380956e-06
465,Madiba (Bottlebrush), ,Shallcross Road / Lichen Road / Papaver Place,71,Bottlebrush / Shallcross / Crossmoor / Woodhurst,"-29,8992772619349","30,8732928477715",Southern,"Ablution Facility Taps, Standpipes & Low pressure tanks",Ablution Facility,C&SW contractor,Yes,I0118,1915,B1,0.0336205817594578,1.81976946369794e-05
466,Madiba (Bottlebrush) Overspill, ,Shallcross Road / Lichen Road / Papaver Place,71,Bottlebrush / Shallcross / Crossmoor / Woodhurst,"-29,9041164064984","30,8811340792501",Southern,"Ablution Facility taps, Standpipes & Low pressure tanks",Ablution Facility,C&SW contractor,Planned,I0852,3996,C,0.0714057985632601,2.73737270314196e-05
467,Umlazi - J - JX3 / JX7,JX3 / JX7,Dloko Road / Mbalane Road / Esipokini Road,78,Umlazi - J,"-29,9456474145878","30,85911487",Southern,Ablution Facility Taps & 2 Standpipe,Ablution Facility,C&SW contractor,Yes,I0267,199,A,0.0210939259331921,3.01902300624689e-06
468,Intake Rd, ,Intake Road,72/100/13,Demat,"-29,8946972920835","30,8094118733671",Western,TBC,TBC,C&SW contractor,Yes,I0089,2085,B1,0.0536738111212886,5.984727219848e-05
469,Mpumulanga (substation), ,Mthoko Mkhize Dr,4,Hammarsdale - Sterkspruit,"-29,7955304424302","30,6514965915303",Western,Standpipe,Pit Privies,C&SW contractor,TBC,I0892,55,B2,0.0114517813389417,2.72968173894739e-06
470,Motala farm 2, ,Allagappa Road,15,Motola Heights,"-29,8076253147482","30,8277219294583",Western,TBC,TBC,C&SW contractor,TBC,I0903,80,B2,0.0103698378591868,2.55667594671833e-06
471,Dassenhoek 5, ,Thornwood Road,13,Madiba Valley,"-29,8649464691617","30,8091609255641",Western,TBC,TBC,C&SW contractor,TBC,I0906,84,B1,0.0155364355172054,2.45648038924846e-06
472,Damede 3, ,Higginson Highway,17,Savannah Park,"-30,1923482422831","30,7448628250001",Western,Standpipe,VIP Toilets,C&SW contractor,TBC,I0909,46,B2,0.00362063626728762,3.45381822258543e-07
473,Ekuthuleni (Naicker Road), ,Track 38223 / Hans Dettman Highway,17,St Wendolins,"-29,8690791796952","30,8737758775817",Western,Ablution Facility Taps,Ablution facility & Pit Privies,C&SW contractor,Yes,I0599,43,B2,0.0046276604667864,3.26033967679733e-07
474,Phase 5, ,Hansdettman Highway,63,AMT Industrial,"-29,8656924628438","30,8720203654179",Western,Ablution Facility Taps,Ablution Facility & Pit Privies,C&SW contractor,Planned,I0593,176,C,0.0145293971746377,2.81536924459684e-06
475,Katshi, ,Demat Road / Intake Road,72,Demat,"-29,9042001539678","30,8207302900001",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0096,1563,B1,0.11549800375119,8.42313594367202e-05
476,Demat (Damede),Damede,Demat Road,72,Demat,"-29,8955235269443","30,8369373925001",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0049,2583,B1,0.0698616206929117,7.78377480793587e-05
477,Progress Place (1 of 3),Bottlebrush,Demat Road / 200382 Street,72,Demat,"-29,9026105096045","30,8352867394588",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0159,1951,B1,0.0578510740923288,4.68212215593025e-05
478,Progress Place (3 of 3),Bottlebrush,Demat Road / 200382 Street,72,Demat,"-29,9026105096045","30,8352867394588",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0159,552,B1,0.0118778096050895,3.40559616966821e-06
479,Progress Place (2 of 3),Bottlebrush,Demat Road / 200382 Street,72,Demat,"-29,9026105096045","30,8352867394588",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0159,1008,B1,0.0350663194925485,1.49285852631412e-05
480,Progress Place Ext, ,Demat,72,Demat,"-29,9043906584673","30,8430421349548",Western,TBC,TBC,C&SW contractor,TBC,I0160,905,B1,0.0362498490218869,2.21505563308094e-05
481,Lusaka Training College,Tanzania / Traning College,Rainbow Circle / Moorton Drive / Silvermount Circle,72,Welbedacht,"-29,9071419005948","30,8536919892501",Southern,Ablution Facility Taps & Standpipes,Ablution facility & Pit Privies,C&SW contractor,Yes,I0800,1031,B2,0.037304528069538,7.9166174846835e-06
482,Damede 2 (2 of 3),KwamaDlamini,200267 Street / Higginson Highway,17,Savannah Park,"-29,8970011086046","30,8533813775002",Western,Standpipe,TBC,C&SW contractor,Planned,I0040,60,B1,0.00351615309114213,4.52054226593556e-07
483,Higginson Highway, ,Higginson Highway,72,Welbedacht,"-29,9028425148443","30,8548396887066",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0087,351,B1,0.0122387814560813,4.3830256467859e-06
484,R.K Khan, ,101 R K Khan,73,Croftdene,"-29,9131449082946","30,8876979480286",Southern,TBC,TBC,C&SW contractor,TBC,I0577,15,B2,0.00123107981423915,5.46676029275052e-08
485,Crossmoor Road, ,Crossmoor Road,71,Chatsworth,"-29,8964516258765","30,8661680532501",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0038,266,B1,0.010851026055182,2.60141995580666e-06
486,Umlazi - J - J16,J16,Bhasini Road / King Dingane Road,78,Umlazi - J,"-29,9480119568507","30,8642607897962",Southern,5 Standpipe,VIPs,C&SW contractor,Yes,I0261,138,A,0.0145387822393263,1.34879380199009e-06
487,Umlazi - CC - CC Esidweni,CC (Esidweni),South Spinal Road,84/74,Umlazi - CC / Umlazi - K Ext / Umlazi - AA / Umlazi - BB,"-29,971938065816","30,8335178497501",Southern,Standpipes,Pit Privies,C&SW contractor,Yes,I0224,3412,B1,0.113067773013707,0.00012370458203316
488,Umlazi - H - HX5,HX5,Lucky Street,79,Umlazi - H,"-29,9458253453744","30,8680396425001",Southern,TBC,VIPs,C&SW contractor,Yes,I0255,115,A,0.0108882699221764,7.8735797596568e-07
489,Zion, ,Shallcross Road,70/71,Shallcross,"-29,9015023230496","30,883162896588",Western,TBC,TBC,C&SW contractor,Planned,I0589,48,C,0.00459983827415151,5.14966672484173e-07
490,Ekuthuleni (Shallcross), ,Chiltern Road,63,Shallcross,"-29,8797131981997","30,8783959697438",Western,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0590,187,B2,0.0143170606002548,4.03723961101141e-06
491,Ethembeni, ,Rameshvar Drive / Onyx Place,63,Shallcross,"-29,8832443381662","30,8851893542501",Western,Standpipes,Ablution facility & Pit privies,C&SW contractor,Yes,I0591,41,B2,0.00794074059309063,9.67535131879228e-07
